Municipi,Província,% Bonificació,Vigència de l'ordenança (anys),Any,Enllaç
Sant Hipòlit de Voltregà,Barcelona,"50,00%",5,2020,https://www.santhipolitdevoltrega.cat/-seu-electronica/informacio-oficial/ordenances-fiscals/ordenanca-fiscal-num-1-impost-sobre-bens-immobles.html#prettyPhoto
Sant Joan de Vilatorrada,Barcelona,"20,00%",3,2019,https://www.santjoanvilatorrada.cat/documents/9089460657.pdf
Sant Julià de Vilatorta,Barcelona,"50,00%",5,2020,https://bop.diba.cat/temp/12_022019022850.pdf
Sant Just Desvern,Barcelona,"50,00%",10,2020,https://www.santjustonline.com:7043/api/seue/getfichero?tipo=orde&value=7$2$24
Sant Pere de Ribes,Barcelona,"50,00%",3,2020,https://www.seu-e.cat/documents/28021/7610618/Ordenances+Fiscals+2020/aad28187-17f9-4e33-aea9-e45fcdca57af
Sant Pere de Torelló,Barcelona,"50,00%",3,2020,https://bop.diba.cat/temp/12_022019022061.pdf
Sant Quirze de Besora,Barcelona,"40,00%",5,2020,https://www.ajsantquirze.cat/media/repository/noticies/2019/novembre/ordenances/ordenanca_1.pdf
Sant Vicenç de Castellet,Barcelona,"50,00%",5,2020,https://www.seu-e.cat/ca/web/santvicencdecastellet/govern-obert-i-transparencia/accio-de-govern-i-normativa/normativa-plans-i-programes/ordenances-fiscals
Sant Vicenç de Torelló,Barcelona,"50,00%",5,2020,https://bop.diba.cat/temp/12_022019022754.pdf
Santa Coloma de Cervelló,Barcelona,"50,00%",3,2020,https://www.santacolomadecervello.cat//normativa/ordenances-fiscals/ordenanca-fiscal-numero-1.html#prettyPhoto[pdf]/0/
Santa Coloma de Gramenet,Barcelona,"50,00%",3,2020,https://bop.diba.cat/temp/12_022019022471.pdf
Santa Eugènia de Berga,Barcelona,"50,00%",5,2020,https://bop.diba.cat/temp/12_022019021859.pdf
Santa Eulàlia de Berga,Barcelona,"50,00%",5,2020,https://bop.diba.cat/temp/12_022019021859.pdf
